id,name,docs,docs_exists,docs_anchor,details_anchor,catalog_anchor,source
audio.disable-beep,Disable System Beep,Docs\peripheral\peripheral.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\AudioTweakProvider.cs#L22
audio.disable-spatial-audio,Disable Spatial Audio,Docs\peripheral\peripheral.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\AudioTweakProvider.cs#L60
audio.disable-system-sounds,Disable System Sounds,Docs\peripheral\peripheral.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\AudioTweakProvider.cs#L72
audio.show-disconnected-devices,Show Disconnected Audio Devices,Docs\peripheral\peripheral.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\AudioTweakProvider.cs#L47
audio.show-hidden-devices,Show Hidden Audio Devices,Docs\peripheral\peripheral.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\AudioTweakProvider.cs#L34
cleanup.background-history,Clear Wallpaper History,Docs\cleanup\cleanup.md,yes,yes,yes,yes,WindowsOptimizer.Engine\Tweaks\Commands\Cleanup\ClearBackgroundHistoryTweak.cs#L14
cleanup.component-store,Cleanup Component Store,Docs\cleanup\cleanup.md,yes,yes,yes,yes,WindowsOptimizer.Engine\Tweaks\Commands\Cleanup\CleanupComponentStoreTweak.cs#L14
cleanup.delivery-optimization,Clear Delivery Optimization Files,Docs\cleanup\cleanup.md,yes,yes,yes,yes,WindowsOptimizer.Engine\Tweaks\Commands\Cleanup\ClearDeliveryOptimizationFilesTweak.cs#L14
cleanup.directx-shader-cache,Clear DirectX Shader Cache,Docs\cleanup\cleanup.md,yes,yes,yes,yes,WindowsOptimizer.Engine\Tweaks\Commands\Cleanup\ClearDirectXShaderCacheTweak.cs#L11
cleanup.disable-reserved-storage,Disable Reserved Storage,Docs\cleanup\cleanup.md,yes,yes,yes,yes,WindowsOptimizer.Engine\Tweaks\Commands\Cleanup\DisableReservedStorageTweak.cs#L14
cleanup.eventlog-{logName.ToLowerInvariant()},Clear {logName} Event Log,Docs\cleanup\cleanup.md,yes,yes,yes,yes,WindowsOptimizer.Engine\Tweaks\Commands\Cleanup\ClearEventLogsTweak.cs#L15
cleanup.font-cache,Clear Font Cache,Docs\cleanup\cleanup.md,yes,yes,yes,yes,WindowsOptimizer.Engine\Tweaks\Commands\Cleanup\ClearFontCacheTweak.cs#L14
cleanup.internet-temp-files,Clear Temporary Internet Files,Docs\cleanup\cleanup.md,yes,yes,yes,yes,WindowsOptimizer.Engine\Tweaks\Commands\Cleanup\ClearTemporaryInternetFilesTweak.cs#L11
cleanup.memory-dumps,Clear Memory Dump Files,Docs\cleanup\cleanup.md,yes,yes,yes,yes,WindowsOptimizer.Engine\Tweaks\Commands\Cleanup\ClearMemoryDumpFilesTweak.cs#L11
cleanup.prefetch-files,Clear Prefetch Files,Docs\cleanup\cleanup.md,yes,yes,yes,yes,WindowsOptimizer.Engine\Tweaks\Commands\Cleanup\ClearPrefetchFilesTweak.cs#L11
cleanup.product-key,Remove Product Key from Registry,Docs\cleanup\cleanup.md,yes,yes,yes,yes,WindowsOptimizer.Engine\Tweaks\Commands\Cleanup\RemoveProductKeyTweak.cs#L14
cleanup.recycle-bin,Empty Recycle Bin,Docs\cleanup\cleanup.md,yes,yes,yes,yes,WindowsOptimizer.Engine\Tweaks\Commands\Cleanup\ClearRecycleBinTweak.cs#L14
cleanup.shadow-copies,Clear Shadow Copies,Docs\cleanup\cleanup.md,yes,yes,yes,yes,WindowsOptimizer.Engine\Tweaks\Commands\Cleanup\ClearShadowCopiesTweak.cs#L14
cleanup.srum-data,Clear SRUM Database,Docs\cleanup\cleanup.md,yes,yes,yes,yes,WindowsOptimizer.Engine\Tweaks\Commands\Cleanup\ClearSRUMDataTweak.cs#L11
cleanup.temp-files,Clear Temporary Files,Docs\cleanup\cleanup.md,yes,yes,yes,yes,WindowsOptimizer.Engine\Tweaks\Commands\Cleanup\ClearTemporaryFilesTweak.cs#L11
cleanup.thumbnail-cache,Clear Thumbnail Cache,Docs\cleanup\cleanup.md,yes,yes,yes,yes,WindowsOptimizer.Engine\Tweaks\Commands\Cleanup\ClearThumbnailCacheTweak.cs#L11
cleanup.wer-files,Clear Windows Error Reporting Files,Docs\cleanup\cleanup.md,yes,yes,yes,yes,WindowsOptimizer.Engine\Tweaks\Commands\Cleanup\ClearWERFilesTweak.cs#L11
cleanup.windows-old,Delete Windows.old Folder,Docs\cleanup\cleanup.md,yes,yes,yes,yes,WindowsOptimizer.Engine\Tweaks\Commands\Cleanup\ClearWindowsOldTweak.cs#L11
cleanup.windows-update-cache,Clear Windows Update Cache,Docs\cleanup\cleanup.md,yes,yes,yes,yes,WindowsOptimizer.Engine\Tweaks\Commands\Cleanup\ClearWindowsUpdateCacheTweak.cs#L11
developer.dotnet-telemetry-disable,Disable .NET SDK Telemetry,Docs\tweaks\tweaks.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\DeveloperTweakProvider.cs#L42
developer.enable-windows-long-paths,Enable Windows Long Paths,Docs\tweaks\tweaks.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\DeveloperTweakProvider.cs#L28
developer.nodejs-performance,Optimize Node.js Performance,Docs\tweaks\tweaks.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\DeveloperTweakProvider.cs#L86
developer.powershell-execution,Allow Local PowerShell Scripts,Docs\tweaks\tweaks.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\DeveloperTweakProvider.cs#L145
developer.python-path-fix,Fix Python Path Length Issues,Docs\tweaks\tweaks.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\DeveloperTweakProvider.cs#L114
developer.ssh-agent-autostart,Enable SSH Agent Auto-start,Docs\tweaks\tweaks.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\DeveloperTweakProvider.cs#L158
developer.terminal-dev-mode,Enable Windows Terminal Developer Features,Docs\tweaks\tweaks.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\DeveloperTweakProvider.cs#L70
developer.vs-intellisense-cache,Optimize VS IntelliSense Cache,Docs\tweaks\tweaks.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\DeveloperTweakProvider.cs#L56
developer.vs-solution-load,Speed Up Visual Studio Solution Load,Docs\tweaks\tweaks.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\DeveloperTweakProvider.cs#L176
developer.vscode-git-autofetch,Disable VS Code Git Autofetch,Docs\tweaks\tweaks.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\DeveloperTweakProvider.cs#L100
developer.windows-dev-mode,Enable Windows Developer Mode,Docs\tweaks\tweaks.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\DeveloperTweakProvider.cs#L128
explorer.always-show-icons-never-thumbnails,"Always Show Icons, Never Thumbnails",Docs\visibility\visibility.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\VisibilityTweakProvider.cs#L122
explorer.disable-low-disk-space-warning,Disable Low Disk Space Warning,Docs\visibility\visibility.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\VisibilityTweakProvider.cs#L226
explorer.disable-taskbar-chat,Hide Taskbar Chat Icon,Docs\visibility\visibility.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\VisibilityTweakProvider.cs#L214
explorer.enable-explorer-compact-mode,Enable Compact View,Docs\visibility\visibility.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\VisibilityTweakProvider.cs#L70
explorer.hide-empty-drives,Hide Empty Drives,Docs\visibility\visibility.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\VisibilityTweakProvider.cs#L174
explorer.launch-folder-windows-in-a-separate-process,Launch Folder Windows in a Separate Process,Docs\visibility\visibility.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\VisibilityTweakProvider.cs#L161
explorer.show-compressed-and-encrypted-files-in-color,Show Compressed and Encrypted Files in Color,Docs\visibility\visibility.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\VisibilityTweakProvider.cs#L135
explorer.show-drive-letters-first,Show Drive Letters First,Docs\visibility\visibility.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\VisibilityTweakProvider.cs#L148
explorer.show-file-extensions,Show File Extensions,Docs\visibility\visibility.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\VisibilityTweakProvider.cs#L44
explorer.show-full-path,Show Full Path in Title Bar,Docs\visibility\visibility.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\VisibilityTweakProvider.cs#L57
explorer.show-hidden-files,Show Hidden Files and Folders,Docs\visibility\visibility.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\VisibilityTweakProvider.cs#L18
explorer.show-info-tips,Show Explorer Info Tips,Docs\visibility\visibility.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\VisibilityTweakProvider.cs#L96
explorer.show-protected-operating-system-files,Show Protected Operating System Files,Docs\visibility\visibility.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\VisibilityTweakProvider.cs#L31
explorer.show-recent-items,Show Recent Items In Home,Docs\visibility\visibility.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\VisibilityTweakProvider.cs#L187
explorer.show-status-bar,Show Explorer Status Bar,Docs\visibility\visibility.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\VisibilityTweakProvider.cs#L83
explorer.show-type-overlay,Display File Icons on Thumbnails,Docs\visibility\visibility.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\VisibilityTweakProvider.cs#L109
explorer.taskbar-alignment-left,Align Taskbar to Left,Docs\visibility\visibility.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\VisibilityTweakProvider.cs#L201
misc.disable-edge-features,Disable Microsoft Edge Features,Docs\misc\misc.md,yes,yes,yes,yes,WindowsOptimizer.Engine\Tweaks\Misc\DisableEdgeFeaturesTweaks.cs#L88
misc.disable-office-telemetry,Disable Microsoft Office Telemetry,Docs\misc\misc.md,yes,yes,yes,yes,WindowsOptimizer.Engine\Tweaks\Misc\DisableOfficeTelemetryTweak.cs#L51
misc.disable-onedrive,Disable OneDrive,Docs\misc\misc.md,yes,yes,yes,yes,WindowsOptimizer.Engine\Tweaks\Misc\DisableOneDriveTweaks.cs#L36
misc.disable-visual-studio-telemetry,Disable Visual Studio Telemetry,Docs\misc\misc.md,yes,yes,yes,yes,WindowsOptimizer.Engine\Tweaks\Misc\DisableVisualStudioTelemetryTweak.cs#L37
misc.optimize-7zip-settings,Optimize 7-Zip Context Menu Settings,Docs\misc\misc.md,yes,yes,yes,yes,WindowsOptimizer.Engine\Tweaks\Misc\SevenZipSettingsTweak.cs#L54
network.disable-active-probing,Disable Active Probing,Docs\network\network.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\NetworkTweakProvider.cs#L178
network.disable-default-shares,Disable Default Shares,Docs\network\network.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\NetworkTweakProvider.cs#L307
network.disable-ipv6,Disable IPv6,Docs\network\network.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\NetworkTweakProvider.cs#L82
network.disable-llmnr,Disable LLMNR,Docs\network\network.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\NetworkTweakProvider.cs#L110
network.disable-lltd,Set LLTD Policies to Default Behavior,Docs\network\network.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\NetworkTweakProvider.cs#L158
network.disable-mdns,Set mDNS Policy to Local Settings,Docs\network\network.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\NetworkTweakProvider.cs#L122
network.disable-netbios,Disable NetBIOS over TCP/IP,Docs\network\network.md,yes,yes,yes,yes,WindowsOptimizer.Engine\Tweaks\Commands\Network\DisableNetbiosOverTcpIpTweak.cs#L19
network.disable-netbios-resolution,Disable NetBIOS Name Resolution,Docs\network\network.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\NetworkTweakProvider.cs#L134
network.disable-plaintext-smb-passwords,Disable Plaintext SMB Passwords,Docs\network\network.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\NetworkTweakProvider.cs#L343
network.disable-smart-name-resolution,Disable Smart Multi-Homed Name Resolution,Docs\network\network.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\NetworkTweakProvider.cs#L146
network.disable-smb1,Disable SMBv1,Docs\network\network.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\NetworkTweakProvider.cs#L319
network.disable-smb2,Disable SMBv2/SMBv3,Docs\network\network.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\NetworkTweakProvider.cs#L331
network.disable-wifi-sense,Disable Wi-Fi Sense,Docs\network\network.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\NetworkTweakProvider.cs#L96
network.enable-lltd-responder,Enable LLTD Responder,Docs\network\network.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\NetworkTweakProvider.cs#L31
network.enable-lltdio,Enable LLTD Mapper I/O,Docs\network\network.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\NetworkTweakProvider.cs#L19
network.flush-dns-cache,Flush DNS Cache,Docs\network\network.md,yes,yes,yes,yes,WindowsOptimizer.Engine\Tweaks\Commands\Network\FlushDnsCacheTweak.cs#L13
network.optimize-smb,Optimize SMB Performance,Docs\network\network.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\NetworkTweakProvider.cs#L44
network.prefer-ipv4,Prefer IPv4 over IPv6,Docs\network\network.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\NetworkTweakProvider.cs#L189
network.require-ntlm-ssp-client-session-security,Require NTLM SSP Client Session Security and 128-bit Encryption,Docs\network\network.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\NetworkTweakProvider.cs#L355
network.reset-winsock,Reset Winsock Catalog,Docs\network\network.md,yes,yes,yes,yes,WindowsOptimizer.Engine\Tweaks\Commands\Network\ResetNetworkStackTweak.cs#L13
network.smb-disable-leasing,SMB: Disable Leasing,Docs\network\network.md,yes,yes,yes,yes,WindowsOptimizer.Engine\Tweaks\Commands\Network\DisableSmbLeasingTweak.cs#L15
network.smb-enable-large-mtu,SMB: Enable Large MTU,Docs\network\network.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\NetworkTweakProvider.cs#L202
network.smb-enable-multichannel,SMB: Enable Multichannel,Docs\network\network.md,yes,yes,yes,yes,WindowsOptimizer.Engine\Tweaks\Commands\Network\EnableSmbMultichannelTweak.cs#L16
network.smb-enable-quic,SMB: Enable QUIC,Docs\network\network.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\NetworkTweakProvider.cs#L269
network.smb-encrypt-data,SMB: Require Encryption,Docs\network\network.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\NetworkTweakProvider.cs#L241
network.smb-reject-unencrypted-access,SMB: Reject Unencrypted Access,Docs\network\network.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\NetworkTweakProvider.cs#L253
network.smb-require-dialect-3_1_1,SMB: Require Dialect 3.1.1,Docs\network\network.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\NetworkTweakProvider.cs#L281
network.smb-require-signing-client,SMB: Require Client Signing,Docs\network\network.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\NetworkTweakProvider.cs#L214
network.smb-require-signing-server,SMB: Require Signing (Server),Docs\network\network.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\NetworkTweakProvider.cs#L227
network.smb-set-cipher-suite-order,SMB: Set Cipher Suite Order,Docs\network\network.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\NetworkTweakProvider.cs#L295
notifications.disable-feedback-frequency,Disable Feedback Requests,Docs\notifications\notifications.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\PrivacyTweakProvider.cs#L533
notifications.disable-lock-screen,Disable Lock Screen Notifications,Docs\notifications\notifications.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\PrivacyTweakProvider.cs#L520
notifications.disable-mirroring,Disable Notification Mirroring,Docs\notifications\notifications.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\PrivacyTweakProvider.cs#L571
notifications.disable-tile,Disable Tile Notifications,Docs\notifications\notifications.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\PrivacyTweakProvider.cs#L558
notifications.disable-toast,Disable Toast Notifications,Docs\notifications\notifications.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\PrivacyTweakProvider.cs#L507
performance.disable-animations,Disable Window Animations,Docs\performance\performance.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\PerformanceTweakProvider.cs#L27
performance.disable-menu-show-delay,Remove Menu Show Delay,Docs\performance\performance.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\PerformanceTweakProvider.cs#L40
performance.disable-taskbar-animations,Disable Taskbar Animations,Docs\performance\performance.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\PerformanceTweakProvider.cs#L53
peripheral.audio-disable-ducking,Disable Audio Ducking,Docs\peripheral\peripheral.md,yes,yes,yes,yes,WindowsOptimizer.Engine\Tweaks\Peripheral\AudioTweaks.cs#L24
peripheral.audio-disable-enhancements,Disable Audio Enhancements,Docs\peripheral\peripheral.md,yes,yes,yes,yes,WindowsOptimizer.Engine\Tweaks\Peripheral\AudioTweaks.cs#L50
peripheral.autoplay-take-no-action,AutoPlay: Take No Action,Docs\peripheral\peripheral.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\PeripheralTweakProvider.cs#L63
peripheral.disable-autoplay,Disable AutoPlay,Docs\peripheral\peripheral.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\PeripheralTweakProvider.cs#L40
peripheral.disable-sticky-keys-prompt,Disable Sticky Keys Prompt,Docs\peripheral\peripheral.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\PeripheralTweakProvider.cs#L27
peripheral.keyboard-disable-language-hotkey,Disable Language Switch Hotkey,Docs\peripheral\peripheral.md,yes,yes,yes,yes,WindowsOptimizer.Engine\Tweaks\Peripheral\KeyboardTweaks.cs#L52
peripheral.keyboard-optimize-repeat,Optimize Keyboard Repeat Rate,Docs\peripheral\peripheral.md,yes,yes,yes,yes,WindowsOptimizer.Engine\Tweaks\Peripheral\KeyboardTweaks.cs#L27
peripheral.mouse-disable-acceleration,Disable Enhanced Pointer Precision (Mouse Acceleration),Docs\peripheral\peripheral.md,yes,yes,yes,yes,WindowsOptimizer.Engine\Tweaks\Peripheral\MouseTweaks.cs#L55
peripheral.mouse-disable-throttle,Disable Mouse Throttling for Background Windows,Docs\peripheral\peripheral.md,yes,yes,yes,yes,WindowsOptimizer.Engine\Tweaks\Peripheral\MouseTweaks.cs#L27
power.disable-cpu-idle-states,Disable CPU Idle States (C-States),Docs\power\power.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\PowerTweakProvider.cs#L66
