id,name,docs,docs_exists,docs_anchor,details_anchor,catalog_anchor,source
security.enable-dynamic-lock,Enable Dynamic Lock,Docs\security\security-verified.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\SecurityTweakProvider.cs#L82
security.enable-sudo,Enable Windows Sudo,Docs\security\security-verified.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\SecurityTweakProvider.cs#L253
security.hide-defender-exclusions-from-local-admins,Hide Defender Exclusions From Local Admins,Docs\security\security-verified.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\SecurityTweakProvider.cs#L130
security.powershell-unrestricted,Set PowerShell Policy to Unrestricted,Docs\security\security-verified.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\SecurityTweakProvider.cs#L241
security.trusted-path-credential-prompting,Require Trusted Path for Credentials,Docs\security\security-verified.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\SecurityTweakProvider.cs#L46
security.uac-never-notify,Set UAC to Never Notify,Docs\security\security-verified.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\SecurityTweakProvider.cs#L29
system-check-disk-health,Check Disk Health (C:),Docs\tweaks\tweaks.md,yes,yes,yes,yes,WindowsOptimizer.Engine\Tweaks\Commands\System\CheckDiskHealthTweak.cs#L14
system.aero-shake,Disable Aero Shake,Docs\system\system.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\SystemTweakProvider.cs#L182
system.bsod-disable-auto-reboot,Disable Auto Reboot on Crash,Docs\system\system.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\SystemRegistryTweakProvider.cs#L405
system.bsod-display-parameters,Show BSOD Parameters,Docs\system\system.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\SystemRegistryTweakProvider.cs#L393
system.disable-app-archiving,Disable Automatic App Archiving,Docs\system\system.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\SystemRegistryTweakProvider.cs#L517
system.disable-auto-maintenance,Disable Automatic Maintenance,Docs\system\system.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\SystemTweakProvider.cs#L246
system.disable-background-gp-updates,Disable Background Group Policy Updates,Docs\system\system.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\SystemTweakProvider.cs#L234
system.disable-clipboard-history,Disable Clipboard History & Sync,Docs\system\system.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\SystemTweakProvider.cs#L208
system.disable-clipboard-redirection,Disable Clipboard Redirection (RDP),Docs\system\system.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\SystemTweakProvider.cs#L222
system.disable-fullscreen-optimizations,Disable Fullscreen Optimizations,Docs\system\system.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\SystemRegistryTweakProvider.cs#L338
system.disable-jpeg-reduction,Disable JPEG Reduction,Docs\system\system.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\SystemTweakProvider.cs#L195
system.disable-restartable-apps,Disable Restartable Apps,Docs\system\system.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\SystemTweakProvider.cs#L270
system.disable-scheduled-tasks,Disable Telemetry & Maintenance Tasks,Docs\system\system.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\SystemTweakProvider.cs#L87
system.disable-search-highlights-policy,Disable Search Highlights (Policy),Docs\system\system.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\SystemTweakProvider.cs#L321
system.disable-search-remote-queries,Disable Remote Search Queries,Docs\system\system.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\SystemRegistryTweakProvider.cs#L368
system.disable-search-web-results,Disable Web Search Results,Docs\system\system.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\SystemRegistryTweakProvider.cs#L356
system.disable-service-splitting,Disable Service Splitting,Docs\system\system.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\SystemTweakProvider.cs#L333
system.disable-shortcut-arrow,Remove Shortcut Arrow Overlay,Docs\system\system.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\SystemTweakProvider.cs#L74
system.disable-startup-delay,Disable Startup Program Delay,Docs\system\system.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\SystemTweakProvider.cs#L48
system.disable-storage-sense,Disable Storage Sense,Docs\system\system.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\SystemTweakProvider.cs#L297
system.disable-storage-sense-temp-cleanup,Disable Storage Sense Temporary Files Cleanup,Docs\system\system.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\SystemTweakProvider.cs#L309
system.disable-store-open-with,Disable Store in Open With,Docs\system\system.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\SystemTweakProvider.cs#L258
system.dwm-disable-mpo,DWM: Disable Multiplane Overlay (MPO),Docs\system\system.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\SystemRegistryTweakProvider.cs#L225
system.dwm-disable-overlay-min-fps,DWM: Disable Overlay Minimum FPS,Docs\system\system.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\SystemRegistryTweakProvider.cs#L237
system.enable-game-mode,Enable Game Mode,Docs\system\system.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\SystemTweakProvider.cs#L35
system.enable-hags,Enable Hardware-Accelerated GPU Scheduling,Docs\system\system.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\SystemTweakProvider.cs#L285
system.enable-indexing-encrypted-items,Enable Indexing of Encrypted Items,Docs\system\system.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\SystemRegistryTweakProvider.cs#L380
system.graphics-disable-overlays,Graphics: Disable Overlay Planes,Docs\system\system.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\SystemRegistryTweakProvider.cs#L212
system.graphics-page-fault-debug-mode,Graphics: Page Fault Debug Mode,Docs\system\system.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\SystemRegistryTweakProvider.cs#L504
system.graphics-tdr-ddi-delay,Graphics: TDR DDI Delay (Default),Docs\system\system.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\SystemRegistryTweakProvider.cs#L164
system.graphics-tdr-delay,Graphics: TDR Delay (Default),Docs\system\system.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\SystemRegistryTweakProvider.cs#L152
system.graphics-tdr-level,Graphics: TDR Level (Default),Docs\system\system.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\SystemRegistryTweakProvider.cs#L176
system.graphics-tdr-limit-count,Graphics: TDR Limit Count (Default),Docs\system\system.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\SystemRegistryTweakProvider.cs#L188
system.graphics-tdr-limit-time,Graphics: TDR Limit Time (Default),Docs\system\system.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\SystemRegistryTweakProvider.cs#L200
system.kernel-adjust-dpc-threshold,Kernel: Adjust DPC Threshold,Docs\system\system.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\SystemRegistryTweakProvider.cs#L31
system.kernel-cache-aware-scheduling,Kernel: Cache-Aware Scheduling,Docs\system\system.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\SystemRegistryTweakProvider.cs#L103
system.kernel-default-dynamic-hetero-cpu-policy,Kernel: Default Dynamic Hetero CPU Policy,Docs\system\system.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\SystemRegistryTweakProvider.cs#L115
system.kernel-disable-low-qos-timer-resolution,Kernel: Disable Low QoS Timer Resolution,Docs\system\system.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\SystemRegistryTweakProvider.cs#L139
system.kernel-dpc-queue-depth,Kernel: DPC Queue Depth,Docs\system\system.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\SystemRegistryTweakProvider.cs#L67
system.kernel-dpc-watchdog-period,Kernel: DPC Watchdog Period,Docs\system\system.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\SystemRegistryTweakProvider.cs#L79
system.kernel-ideal-dpc-rate,Kernel: Ideal DPC Rate,Docs\system\system.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\SystemRegistryTweakProvider.cs#L43
system.kernel-minimum-dpc-rate,Kernel: Minimum DPC Rate,Docs\system\system.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\SystemRegistryTweakProvider.cs#L55
system.kernel-serialize-timer-expiration,Kernel: Serialize Timer Expiration,Docs\system\system.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\SystemRegistryTweakProvider.cs#L91
system.kernel-thread-dpc-enable,Kernel: Threaded DPC Enable,Docs\system\system.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\SystemRegistryTweakProvider.cs#L127
system.memory-clear-pagefile-at-shutdown,Clear Page File at Shutdown,Docs\system\system.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\SystemRegistryTweakProvider.cs#L418
system.memory-disable-paging-executive,Disable Paging Executive,Docs\system\system.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\SystemRegistryTweakProvider.cs#L430
system.memory-large-system-cache-client,Memory: Use Client System Cache,Docs\system\system.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\SystemRegistryTweakProvider.cs#L456
system.memory-nonpaged-pool-dynamic,Memory: Reset Non-Paged Pool Size,Docs\system\system.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\SystemRegistryTweakProvider.cs#L480
system.memory-paged-pool-dynamic,Memory: Reset Paged Pool Size,Docs\system\system.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\SystemRegistryTweakProvider.cs#L468
system.memory-registry-quota-default,Memory: Reset Registry Quota,Docs\system\system.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\SystemRegistryTweakProvider.cs#L492
system.ntfs-disable-8dot3,Disable 8.3 Name Creation,Docs\system\system.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\SystemRegistryTweakProvider.cs#L250
system.ntfs-disable-last-access,Disable Last Access Updates,Docs\system\system.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\SystemRegistryTweakProvider.cs#L262
system.ntfs-enable-long-paths,Enable Win32 Long Paths,Docs\system\system.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\SystemRegistryTweakProvider.cs#L274
system.ntfs-reset-memory-usage,Reset NTFS Memory Usage,Docs\system\system.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\SystemRegistryTweakProvider.cs#L286
system.ntfs-reset-mft-zone,Reset NTFS MFT Zone Reservation,Docs\system\system.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\SystemRegistryTweakProvider.cs#L298
system.priority-control,Set Foreground Scheduling Priority,Docs\system\system.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\SystemRegistryTweakProvider.cs#L18
system.reliability-timestamp-enabled,Enable Reliability Event Timestamping,Docs\system\system.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\SystemRegistryTweakProvider.cs#L442
system.services.disable-bluetooth-audio-gateway,Disable Bluetooth Audio Gateway Service,Docs\system\system.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\SystemTweakProvider.cs#L176
system.services.disable-bluetooth-support,Disable Bluetooth Support Service,Docs\system\system.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\SystemTweakProvider.cs#L164
system.services.disable-bluetooth-user-service,Disable Bluetooth User Service,Docs\system\system.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\SystemTweakProvider.cs#L170
system.services.disable-connected-user-experiences,Disable Connected User Experiences Service,Docs\system\system.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\SystemTweakProvider.cs#L104
system.services.disable-print-device-configuration,Disable Print Device Configuration Service,Docs\system\system.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\SystemTweakProvider.cs#L152
system.services.disable-print-notifications,Disable Print Notification Service,Docs\system\system.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\SystemTweakProvider.cs#L140
system.services.disable-print-scan-broker,Disable Print Scan Broker Service,Docs\system\system.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\SystemTweakProvider.cs#L158
system.services.disable-print-spooler,Disable Print Spooler Service,Docs\system\system.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\SystemTweakProvider.cs#L134
system.services.disable-print-workflow-user-service,Disable Print Workflow User Service,Docs\system\system.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\SystemTweakProvider.cs#L146
system.services.disable-sysmain,Disable SysMain Service,Docs\system\system.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\SystemTweakProvider.cs#L116
system.services.disable-wap-push-routing,Disable WAP Push Routing Service,Docs\system\system.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\SystemTweakProvider.cs#L110
system.services.disable-windows-error-reporting,Disable Windows Error Reporting Service,Docs\system\system.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\SystemTweakProvider.cs#L128
system.services.disable-windows-search,Disable Windows Search Service,Docs\system\system.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\SystemTweakProvider.cs#L122
system.verbose-status-messages,Enable Verbose Status Messages,Docs\system\system.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\SystemTweakProvider.cs#L61
system.wait-to-kill-service-timeout,Reduce Service Shutdown Timeout,Docs\system\system.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\SystemRegistryTweakProvider.cs#L311
visibility.default-account-picture,Use Default Account Picture,Docs\visibility\visibility.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\VisibilityTweakProvider.cs#L264
visibility.disable-acrylic-logon,Disable Acrylic Logon Background,Docs\visibility\visibility.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\VisibilityTweakProvider.cs#L490
visibility.disable-common-control-animations,Disable Common Control Animations,Docs\visibility\visibility.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\VisibilityTweakProvider.cs#L239
visibility.disable-first-signin-animation,Disable First Sign-In Animation,Docs\visibility\visibility.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\VisibilityTweakProvider.cs#L288
visibility.disable-lock-screen,Disable Lock Screen,Docs\visibility\visibility.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\VisibilityTweakProvider.cs#L430
visibility.disable-lock-screen-camera,Disable Lock Screen Camera,Docs\visibility\visibility.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\VisibilityTweakProvider.cs#L442
visibility.disable-lock-screen-changes,Prevent Changing Lock Screen,Docs\visibility\visibility.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\VisibilityTweakProvider.cs#L478
visibility.disable-lock-screen-motion,Disable Lock Screen Background Motion,Docs\visibility\visibility.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\VisibilityTweakProvider.cs#L466
visibility.disable-lock-screen-slideshow,Disable Lock Screen Slideshow,Docs\visibility\visibility.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\VisibilityTweakProvider.cs#L454
visibility.disable-spotlight-action-center,Disable Windows Spotlight on Action Center,Docs\visibility\visibility.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\VisibilityTweakProvider.cs#L377
visibility.disable-spotlight-desktop-collection,Disable Spotlight Collection on Desktop,Docs\visibility\visibility.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\VisibilityTweakProvider.cs#L403
visibility.disable-spotlight-features,Disable Windows Spotlight Features,Docs\visibility\visibility.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\VisibilityTweakProvider.cs#L351
visibility.disable-spotlight-settings,Disable Windows Spotlight on Settings,Docs\visibility\visibility.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\VisibilityTweakProvider.cs#L390
visibility.disable-spotlight-third-party,Disable Spotlight Third-Party Suggestions,Docs\visibility\visibility.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\VisibilityTweakProvider.cs#L416
visibility.disable-spotlight-welcome,Disable Windows Spotlight Welcome Experience,Docs\visibility\visibility.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\VisibilityTweakProvider.cs#L364
visibility.disable-wcn-wizards,Disable Windows Connect Now Wizards,Docs\visibility\visibility.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\VisibilityTweakProvider.cs#L276
visibility.disable-widgets,Disable Widgets (Policy),Docs\visibility\visibility.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\VisibilityTweakProvider.cs#L313
visibility.disable-window-animations,Disable Window Animations,Docs\visibility\visibility.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\VisibilityTweakProvider.cs#L252
visibility.force-classic-control-panel,Force Classic Control Panel View,Docs\visibility\visibility.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\VisibilityTweakProvider.cs#L515
visibility.hide-language-bar,Hide Language Bar,Docs\visibility\visibility.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\VisibilityTweakProvider.cs#L300
visibility.hide-most-used-apps,Hide Most Used Apps,Docs\visibility\visibility.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\VisibilityTweakProvider.cs#L325
visibility.hide-people-bar,Hide People Bar,Docs\visibility\visibility.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\VisibilityTweakProvider.cs#L337
visibility.restore-classic-context-menu,Restore Classic Context Menu,Docs\visibility\visibility.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\VisibilityTweakProvider.cs#L502
